                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4761,                 2.0038,                 1.2285,                0.92293,                0.92857,                  0.934,                0.63518,                  0.994,                    1.6,                 1.0067,                0.00026,                0.00026,                0.00026
                      1,                 1.3916,                 1.0931,                  1.137,                0.92766,                0.92857,                0.91088,                0.60917,                 1.2275,                 2.1915,                 1.1113,             0.00051327,             0.00051327,             0.00051327
                      2,                 1.2647,                0.95752,                 1.1707,                0.74965,                0.85563,                0.84377,                0.55303,                  1.351,                 1.4995,                 1.3959,             0.00073882,             0.00073882,             0.00073882
                      3,                 1.4306,                0.96553,                 1.1745,                0.70618,                0.78571,                0.80589,                0.52814,                 1.2277,                 2.4692,                 1.3209,             0.00093665,             0.00093665,             0.00093665
                      4,                 1.2816,                0.93836,                 1.1595,                0.63934,                0.64286,                0.68245,                 0.3828,                 1.4845,                 2.7694,                 1.4974,              0.0011068,              0.0011068,              0.0011068
                      5,                 1.3855,                0.95214,                 1.1881,                0.74555,                0.83809,                0.82263,                0.48971,                 1.4861,                 1.1829,                 1.6307,              0.0012491,              0.0012491,              0.0012491
                      6,                 1.2421,                 0.9589,                 1.1683,                      1,                0.91765,                 0.9261,                0.48213,                 1.6975,                 1.1765,                 1.7387,              0.0013638,              0.0013638,              0.0013638
                      7,                 1.2921,                0.90603,                 1.1503,                0.15516,                0.39406,                0.25397,                0.13295,                 1.9329,                 12.643,                 2.3215,               0.001307,               0.001307,               0.001307
                      8,                 1.3489,                 0.9456,                 1.1965,                0.37754,                0.64286,                 0.3358,                0.14742,                 1.7695,                  3.296,                 1.8012,               0.001307,               0.001307,               0.001307
                      9,                 1.4611,                0.91989,                 1.2176,                0.47841,                0.59042,                0.58127,                0.33517,                 1.5567,                  2.666,                 1.5115,               0.001208,               0.001208,               0.001208
                     10,                 1.3853,                 0.8633,                 1.2159,                0.97579,                0.85714,                0.92577,                0.63102,                  1.183,                 1.0259,                 1.2268,               0.001109,               0.001109,               0.001109
                     11,                 1.4516,                0.85775,                 1.1812,                0.96386,                0.78571,                0.89256,                0.55338,                 1.3938,                 1.2819,                 1.5628,                0.00101,                0.00101,                0.00101
                     12,                 1.2345,                0.78249,                 1.1954,                      1,                0.98805,                  0.995,                0.61311,                   1.29,                0.92384,                 1.3971,               0.000911,               0.000911,               0.000911
                     13,                 1.1956,                0.70135,                 1.1599,                0.99655,                0.92857,                0.96761,                 0.6345,                 1.2564,                  0.706,                 1.3584,               0.000812,               0.000812,               0.000812
                     14,                 1.1915,                0.68919,                 1.1534,                      1,                0.91157,                0.92951,                0.68201,                  1.232,                0.62773,                 1.2217,               0.000713,               0.000713,               0.000713
                     15,                 1.1664,                0.68278,                 1.1091,                0.97677,                0.92857,                0.93218,                0.70194,                 1.1638,                0.58734,                  1.181,               0.000614,               0.000614,               0.000614
                     16,                 1.1506,                0.66494,                 1.1041,                0.98538,                0.92857,                0.95382,                0.66253,                 1.2642,                0.60866,                 1.2328,               0.000515,               0.000515,               0.000515
                     17,                 1.1095,                0.65595,                  1.099,                  0.987,                0.92857,                0.93462,                0.69538,                 1.1843,                0.57984,                 1.2029,               0.000416,               0.000416,               0.000416
                     18,                 1.2645,                0.64806,                 1.1982,                 0.9869,                0.92857,                0.93499,                0.69797,                  1.095,                0.57648,                 1.1462,               0.000317,               0.000317,               0.000317
                     19,                0.98031,                0.59619,                 1.0915,                0.97894,                0.92857,                0.93499,                0.71752,                 1.0853,                0.53662,                  1.142,               0.000218,               0.000218,               0.000218
