                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8546,                 2.0553,                 2.0411,                0.82334,                0.77867,                0.86483,                 0.5483,                 1.3408,                0.86728,                 1.6114,             0.00065823,             0.00065823,             0.00065823
                      1,                 1.4379,                 1.1188,                 1.6684,                0.94426,                0.81312,                0.91539,                0.61436,                 1.2109,                0.78387,                 1.4586,              0.0012593,              0.0012593,              0.0012593
                      2,                 1.3571,                 1.0475,                 1.5842,                0.90278,                0.83467,                0.92903,                0.62843,                 1.1691,                0.71961,                 1.4404,              0.0017944,              0.0017944,              0.0017944
                      3,                 1.2933,                0.99104,                  1.541,                0.94545,                   0.88,                0.95541,                0.66089,                 1.0973,                0.69587,                 1.3703,               0.001703,               0.001703,               0.001703
                      4,                 1.2864,                0.95333,                 1.5332,                0.94771,                   0.87,                0.96774,                0.67649,                 1.0768,                0.63389,                 1.3693,               0.001703,               0.001703,               0.001703
                      5,                 1.2121,                0.90945,                 1.4864,                0.97233,                0.84333,                0.95455,                0.66012,                 1.1284,                 0.6441,                 1.4095,               0.001604,               0.001604,               0.001604
                      6,                 1.2179,                0.88161,                 1.4863,                0.96187,                0.87457,                0.96201,                0.67007,                 1.1047,                0.60839,                 1.3871,               0.001505,               0.001505,               0.001505
                      7,                 1.2071,                0.89155,                  1.476,                0.95464,                0.91733,                0.97737,                0.69524,                 1.0718,                0.56818,                 1.3441,               0.001406,               0.001406,               0.001406
                      8,                 1.1951,                0.84436,                 1.4621,                0.98716,                0.89333,                0.97604,                0.70159,                 1.0448,                0.55259,                 1.3153,               0.001307,               0.001307,               0.001307
                      9,                 1.1352,                0.82214,                  1.434,                0.97556,                0.90933,                0.97531,                0.72296,                0.99069,                 0.5324,                 1.2866,               0.001208,               0.001208,               0.001208
                     10,                 1.0557,                0.62537,                 1.4182,                0.94843,                0.93173,                0.97814,                0.70964,                 1.0235,                0.55119,                 1.3196,               0.001109,               0.001109,               0.001109
                     11,                 1.0141,                0.59097,                 1.3887,                0.95522,                0.94933,                0.98626,                0.72066,                 1.0175,                0.51614,                 1.3092,                0.00101,                0.00101,                0.00101
                     12,                0.98819,                0.55738,                 1.3696,                0.96784,                0.95733,                0.98611,                0.73606,                0.97483,                 0.4823,                  1.274,               0.000911,               0.000911,               0.000911
                     13,                0.95472,                0.52327,                 1.3393,                0.98326,                0.93988,                0.98752,                0.73203,                0.98608,                0.48981,                 1.2701,               0.000812,               0.000812,               0.000812
                     14,                0.93121,                0.51237,                 1.3068,                0.96455,                0.94322,                0.98643,                0.75352,                0.91655,                0.47122,                 1.2153,               0.000713,               0.000713,               0.000713
                     15,                0.89894,                0.48279,                  1.287,                0.97382,                0.96533,                0.99018,                0.75064,                0.94066,                0.45194,                 1.2294,               0.000614,               0.000614,               0.000614
                     16,                0.88131,                0.47004,                 1.2744,                0.97325,                0.97029,                0.98721,                0.75649,                 0.9503,                0.44224,                 1.2375,               0.000515,               0.000515,               0.000515
                     17,                0.87207,                0.45468,                 1.2566,                0.96882,                0.97867,                0.99138,                0.75456,                0.94252,                0.43399,                 1.2371,               0.000416,               0.000416,               0.000416
                     18,                0.85363,                0.45361,                 1.2409,                 0.9824,                0.97067,                0.99199,                0.77196,                0.90668,                0.42332,                 1.2029,               0.000317,               0.000317,               0.000317
                     19,                0.84462,                0.44503,                 1.2406,                0.98102,                  0.952,                0.99119,                0.77547,                0.89045,                0.41789,                   1.19,               0.000218,               0.000218,               0.000218
